;PLAYER;TEAM;AGE;GP;W;L;MIN;PTS;FGM;FGA;FG%;3PM;3PA;3P%;FTM;FTA;FT%;OREB;DREB;REB;AST;TOV;STL;BLK;PF;FP;DD2;TD3;+/-
510;Derrick Williams;LAL;27;2;1;1;4.3;1.0;0.5;2.0;25.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.5;0.5;0.0;0.0;0.0;0.0;0.0;1.6;0;0;-2.5
510;Georges Niang;UTA;25;9;9;0;3.5;1.0;0.4;1.2;36.4;0.0;0.4;0.0;0.1;0.2;50.0;0.3;0.7;1.0;0.3;0.3;0.2;0.0;0.1;3.0;0;0;-1.4
510;Matt Costello;SAS;24;4;2;2;8.1;1.0;0.5;1.0;50.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3;2.0;2.3;0.5;0.3;0.5;0.5;1.8;7.2;0;0;3.8
510;PJ Dozier;OKC;21;2;1;1;1.6;1.0;0.5;1.0;50.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.5;0.0;0.5;0.0;0.0;0.5;1.1;0;0;-1.5
510;Reggie Hearn;DET;26;3;3;0;2.2;1.0;0.3;0.7;50.0;0.3;0.7;50.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0;0;-1.7
510;Scotty Hopson;DAL;28;1;0;1;8.4;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;2.0;50.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.5;0;0;-8.0
516;Jake Layman;POR;24;35;22;13;4.6;1.0;0.4;1.3;29.8;0.1;0.6;20.0;0.1;0.1;66.7;0.1;0.3;0.5;0.3;0.1;0.2;0.1;0.4;2.7;0;0;-0.6
517;D.J. Wilson;MIL;22;22;12;10;3.2;1.0;0.4;0.7;56.3;0.1;0.2;40.0;0.0;0.1;50.0;0.1;0.4;0.5;0.1;0.2;0.1;0.0;0.3;2.1;0;0;-1.9
518;Tony Bradley;UTA;20;9;6;3;3.2;0.9;0.3;1.2;27.3;0.0;0.1;0.0;0.2;0.2;100;0.4;0.8;1.2;0.1;0.0;0.0;0.0;0.1;2.5;0;0;0.1
519;Julyan Stone;CHA;29;23;10;13;7.6;0.8;0.3;0.6;46.2;0.3;0.6;46.2;0.0;0.1;50.0;0.0;1.2;1.3;1.1;0.3;0.2;0.1;0.9;4.5;0;0;1.7
520;Jacob Wiley;BKN;23;5;1;4;6.7;0.8;0.2;0.8;25.0;0.2;0.4;50.0;0.2;0.4;50.0;0.4;1.8;2.2;0.4;0.0;0.2;0.0;0.8;4.6;0;0;2.6
521;Jacob Pullen;PHI;28;3;2;1;2.0;0.7;0.3;0.7;50.0;0.0;0.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3;0.0;0.0;0.0;0.3;0;0;0.0
521;Josh Smith;NOP;32;3;2;1;3.9;0.7;0.3;1.3;25.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.3;1.3;0.0;0.0;0.0;0.0;1.0;2.3;0;0;-3.3
523;Vander Blue;LAL;25;5;1;4;9.0;0.6;0.2;1.0;20.0;0.0;0.4;0.0;0.2;0.4;50.0;0.0;0.2;0.2;0.6;0.6;0.2;0.0;0.4;1.7;0;0;3.0
524;Cole Aldrich;MIN;29;21;14;7;2.3;0.6;0.2;0.7;33.3;0.0;0.0;0.0;0.1;0.3;33.3;0.1;0.6;0.7;0.1;0.0;0.1;0.0;0.5;2.0;0;0;-0.1
524;Udonis Haslem;MIA;38;14;9;5;5.1;0.6;0.2;1.1;20.0;0.1;0.6;12.5;0.1;0.1;50.0;0.2;0.5;0.7;0.4;0.1;0.0;0.1;0.2;2.3;0;0;-0.3
526;London Perrantes;CLE;23;14;8;6;4.7;0.5;0.1;0.9;15.4;0.0;0.2;0.0;0.2;0.4;60.0;0.1;0.2;0.3;0.4;0.1;0.1;0.1;0.4;2.0;0;0;-1.4
526;Xavier Munford;MIL;26;6;2;4;3.5;0.5;0.2;1.0;16.7;0.0;0.3;0.0;0.2;0.3;50.0;0.2;0.0;0.2;0.7;0.3;0.2;0.0;0.7;1.9;0;0;-2.0
528;Charles Cooke;NOP;23;13;8;5;2.9;0.5;0.2;1.1;14.3;0.1;0.6;12.5;0.1;0.2;50.0;0.0;0.2;0.2;0.1;0.1;0.1;0.0;0.0;0.9;0;0;-0.7
529;Nate Wolters;UTA;27;5;3;2;3.8;0.4;0.2;1.2;16.7;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.2;0.4;0.2;0.0;0.0;0.0;0.2;1.2;0;0;0.6
530;Ben Moore;IND;23;2;1;1;4.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.5;0.5;0.0;0.0;0.0;2.0;1.4;0;0;-7.5
530;Chris Boucher;GSW;25;1;1;0;1.3;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.2;0;0;-2.0
530;Erik McCree;UTA;24;4;4;0;1.9;0.0;0.0;0.5;0.0;0.0;0.3;0.0;0.0;0.0;0.0;0.0;0.3;0.3;0.0;0.3;0.3;0.0;0.0;0.8;0;0;-2.3
530;Jarell Eddie;CHI;26;3;1;2;2.9;0.0;0.0;0.7;0.0;0.0;0.7;0.0;0.0;0.0;0.0;0.0;0.3;0.3;0.0;0.0;0.3;0.0;0.0;1.4;0;0;0.3
530;Josh McRoberts;DAL;31;2;2;0;2.9;0.0;0.0;0.5;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0;0;0.0
530;Luis Montero;DET;25;2;1;1;4.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.2;0;0;-2.5
530;Mindaugas Kuzminskas;NYK;28;1;0;1;1.9;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.0
530;Nicolas Brussino;ATL;25;4;0;4;2.5;0.0;0.0;0.5;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.8;0.8;0.0;0.0;0.0;0.0;0.0;0.9;0;0;4.3
530;Trey McKinney-Jones;IND;27;1;1;0;1.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.0
530;Tyler Lydon;DEN;22;1;1;0;2.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;-6.0
530;Xavier Silas;BOS;30;2;1;1;3.7;0.0;0.0;1.5;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.5;0.5;1.0;0.0;0.0;0.5;0.0;0.5;2.7;0;0;0.5
